engelsk,CEFR,gender,ord,wordAudio,uttale,etymologi,definisjon,sentenceAudio,eksempel,sentenceTranslation,sentenceToDelete
road cycling,C,ei,"landeveissykling, landevegssykling",X,,,(konkurranse)sykling som foregår på vei,X,Landeveissykling krever både utholdenhet og taktikk.,Road cycling requires both endurance and strategy.,
connected to the mainland,B2,adjective,landfast,X,,Old Norse,som henger sammen med fastlandet,X,"Stedet er landfast, men en må bruke båt for å komme seg dit.","The place is landlocked, but you have to use a boat to get there.",
land,B2,ei,landjord,X,,Old Norse,"fast, tørt land; jordoverflate",X,Store deler av landjorda brukes til matproduksjon.,Large parts of the land are used for food production.,
rural,B1,adjective,landlig,X,,Old Norse,"som gjelder, er typisk for landsbygda og livet der",X,De bor på en landlig gård langt unna byen.,They live on a rural farm far from the city.,
land mass,B2,en,landmasse,X,,Old Norse,"masse, mengde av land, landjord",X,Europa og Asia er store landmasser.,Europe and Asia are large land masses.,
"area of land, rural area",B2,et,landområde,X,,Old Norse,større jordareal eller landstrekning,X,Dette landområdet er dekket av tett skog.,This land area is covered by dense forest.,
village,A2,en,landsby,X,,Old Norse,tettsted der det særlig bor bønder som dyrker jorda omkring,X,Vi besøkte en sjarmerende landsby på ferien vår.,We visited a charming village on our vacation.,
countryside,B1,ei,landsbygd,X,,Old Norse,"bygd, land",X,"Besteforeldrene mine bor på landsbygda, der det er stille og fredelig.","My grandparents live in the countryside, where it's quiet and peaceful.",
region,B2,en,landsdel,X,,Old Norse,(større) del av et land,X,Nord-Norge er en landsdel med vakker natur.,Northern Norway is a region with beautiful nature.,
national traitor,C,en,landsforræder,X,,Old Norse,person som gjør seg skyldig i landsforræderi; landssviker,X,Han ble sett på som en landsforræder etter hendelsen.,He was seen as a traitor after the incident.,
national average,B2,et,landsgjennomsnitt,X,,Old Norse,gjennomsnitt på landsnivå,X,Arbeidsledigheten i fylket er over landsgjennomsnittet.,Unemployment in the county is above the national average.,
international match,A2,en,landskamp,X,,Old Norse,"konkurranse, vanligvis i idrett, mellom lag fra to eller flere land",X,I kveld skal vi spille landskamp i fotball mot Danmark.,Tonight we're playing an international football match against Denmark.,
landscape,B1,et,landskap,X,,Old Norse: landskapr,"mindre område som utgjør en naturlig avgrenset enhet med tanke på natur, planteliv eller lignende; omgivelser, miljø; stort lokale som ikke er oppdelt i rom; landskapsmaleri; landsdel, provins",X,Huset glir fint inn i landskapet.,The house blends nicely into the landscape.,
tortoise,B2,ei,landskilpadde,X,,Old Norse,"skilpadde av familien Testudinidae, som lever på landjorda",X,Jeg har en landskilpadde som kjæledyr.,I have a pet tortoise.,
country code,B2,en,"landskode, landkode",X,,Old Norse,kode av tall foran telefonnummer som er knyttet til det land hvor telefonen er registrert,X,Norges landskode er +47 når man ringer fra utlandet.,Norway's country code is +47 when calling from abroad.,
national team,B1,et,landslag,X,,Old Norse,lag som representerer landet sitt i en landskamp,X,Norges landslag i fotball skal spille en viktig kamp i morgen.,Norway's national football team will play an important match tomorrow.,
earlier variant of Nynorsk,B2,et,landsmål,X,,Old Norse,betegnelse for nynorsk før 1929,X,Landsmål er en gammel betegnelse for nynorsk.,Landsmål is an old term for Nynorsk.,
countryman,B2,en,landsmann,X,,Old Norse,person fra samme landet som en annen,X,Han møtte en landsmann fra Norge under reisen til USA.,He met a compatriot from Norway during his trip to the USA.,
national conference,B2,et,landsmøte,X,,Old Norse,møte av utsendinger fra hele landet,X,Saken må opp på landsmøtet.,The matter must be raised at the Annual General Meeting.,
country code,B1,et,landsnummer,X,,Old Norse,nummer en skal slå før abonnentens nummer når en ringer til utlandet,X,Belgia har landsnummer 32.,Belgium has the country code 32.,
nationwide,B2,adjective,landsomfattende,X,,Old Norse,som gjelder for hele landet,X,Det var en landsomfattende undersøkelse om helsetjenester.,It was a nationwide survey on healthcare.,
national traitor,C,en,landssviker,X,,Old Norse,landsforræder,X,Han ble dømt som landssviker etter krigen.,He was convicted as a traitor after the war.,
stretch of land,B2,ei,landstrekning,X,,Old Norse,strekning av land; landområde,X,Vi kjørte gjennom en lang landstrekning uten tegn til bebyggelse.,We drove through a long stretch of land with no signs of habitation.,
strip of land,C,ei,landstripe,X,,Old Norse,smalt område med land,X,Det er bare en smal landstripe mellom de to buktene.,There is only a narrow strip of land between the two bays.,
strip of land,B2,ei,landtunge,X,,Old Norse,flatt nes,X,En smal landtunge skilte innsjøen fra havet.,A narrow strip of land separated the lake from the sea.,
"loan, lend",A2,verb,låne,X,[lå:`nə],Old Norse,få noe til bruk en viss tid; la noen få bruke noe en viss tid,X,Kan jeg låne en bok av deg?,Can I borrow a book from you?,
library card,A2,et,lånekort,X,,,legitimasjonskort som gir rett til å låne bøker på et bibliotek,X,Ta med lånekortet når du skal låne bøker.,Bring your library card when you borrow books.,
long,A1,adjective,lang,X,[laŋ:],Old Norse: langr,som har forholdsvis stor lengde,X,Elven er lang og svinger seg gjennom landskapet.,The river is long and winds through the landscape.,
long-legged,B2,adjective,langbeint,X,,Old Norse,med lange bein,X,Giraffer er kjent for å være langbeinte dyr.,Giraffes are known to be long-legged animals.,
long wave,B2,ei,langbølge,X,,Old Norse,radiobølgelengde på over cirka 850 m (eller frekvenser under cirka 350 kHz),X,Langbølger brukes til radiokommunikasjon over lange avstander.,Long waves are used for radio communication over long distances.,
long pants,A2,ei,langbukse,X,,Old Norse,fotsid bukse,X,Han gikk med langbukser til jobben i dag.,He wore long pants to work today.,
"tedious, boring, lengthy",B2,adjective,langdryg,X,,Old Norse,"langvarig, kjedelig",X,Møtet ble unødvendig langdrygt og kunne vært halvert i tid.,The meeting was unnecessarily lengthy and could have been halved in time.,
deliver,B1,verb,lange,X,,Old Norse,gå eller springe med lange skritt; være håndlanger; sende; omsette alkohol eller narkotika ulovlig,X,Han langet ut et slag mot motstanderen under kampen.,He threw a punch at his opponent during the match.,
eat a lot,B2,expression,lange innpå,X,,Old Norse,spise mye,X,Hun langet innpå en stor porsjon kake på festen.,She helped herself to a large portion of cake at the party.,
long-sleeved,A2,adjective,"langermet, langerma",X,,,med lange ermer,X,På vinteren foretrekker hun langermede gensere for å holde varmen.,"In winter, she prefers long-sleeved sweaters to keep warm.",
Lent,C,ei,langfaste,X,,,fastetid de siste sju ukene før påske,X,I langfasten spiser mange enklere mat.,During the long Lenten fast many people eat simpler food.,
middle finger,B1,en,langfinger,X,,Old Norse,den mellomste og lengste fingeren på en hånd,X,Han brakk langfingeren under fotballkampen.,He broke his middle finger during the football match.,
stretched out flat,B2,adjective,langflat,X,,,utstrakt med nesten vannrett kropp,X,Han lå langflat på gulvet og strakte ut ryggen.,He lay stretched out flat on the floor and stretched his back.,
Good Friday,A2,en,langfredag,X,,Old Norse: langafrjádagr,"fredag før påskedag, som blir holdt hellig til minne om Jesu død",X,På langfredag pleier vi å ha en stille og rolig dag.,On Good Friday we usually have a quiet and calm day.,
long weekend,A2,ei,langhelg,X,,,"helg som er lengre enn vanlig, for eksempel fra torsdag til søndag",X,Vi planlegger en hyttetur i langhelga.,We are planning a cabin trip for the long weekend.,
long-distance race,B2,et,langløp,X,,,løp over lang distanse,X,Han meldte seg på et langløp på ski.,He signed up for a long-distance ski race.,
long-distance,B2,adjective,langreist,X,,Old Norse,som har reist eller er fraktet lang vei,X,"Restauranten tilbyr kun langreist mat, som bidrar til et stort karbonavtrykk.","The restaurant only offers long-distance food, which contributes to a large carbon footprint.",
long-distance food,B2,expression,langreist mat,X,,Old Norse,mat som er langreist,X,Langreist mat har ofte en høyere miljøkostnad enn lokalprodusert mat.,Long-distance food often has a higher environmental cost than locally produced food.,
cross-country skiing,A2,et,langrenn,X,,,(konkurranse i) skiløping over en viss strekning,X,Vi ser på langrenn på TV.,We watch cross-country skiing on TV.,
"elongated, oval",C,adjective,langrund,X,,,"eggformet, oval",X,Han tegnet en langrund form som minnet om et egg.,He drew an elongated shape that resembled an egg.,
along,A2,preposition,langs,X,,German,"nær ved og parallelt med; bortover, på, nær ved",X,Vi gikk en tur langs elvebredden.,We went for a walk along the riverbank.,
along,C,preposition,langsetter,X,,,"nær ved og parallelt med; langs; bortover, på; i lengderetningen, på langs",X,Han la plankene langsetter veggen.,He laid the planks along the wall.,
long-term,B2,adjective,langsiktig,X,,Old Norse,"som må planlegges, gå for seg på lang sikt",X,Han har en langsiktig plan for å spare til pensjonen.,He has a long-term plan to save for his retirement.,
"long-term view, long-term perspective",B2,ei,langsiktighet,X,,,det å være langsiktig ; det at noe er langsiktig eller bør/kan forstås i et langsiktig perspektiv,X,Vi må ha langsiktighet når vi planlegger bærekraftige løsninger.,We must take a long-term view when planning sustainable solutions.,
longship,B2,et,langskip,X,,,norrønt krigsskip; skip i lengderetningen i en kirke,X,Langskipet seilte raskt over havet mot fienden.,The longship sailed swiftly across the sea toward the enemy.,
longitudinal,C,adjective,langskips,X,,,"som går i skipets, fartøyets lengderetning",X,Stolene var plassert langskips i kirkerommet.,The chairs were placed lengthwise in the church.,
along,B2,preposition,langsmed,X,,,fremover på siden eller kanten av,X,Huset ligger langsmed elven.,The house is located along the river.,
slow,A2,adjective,langsom,X,,German,"sen; sakte; langvarig; kjedelig, stusslig",X,Det har vært en langsom utvikling.,It has been a slow development.,
slowness,B2,ei,langsomhet,X,,,det å være langsom; det å bruke lang tid på å utføre noe; det at noe tar lang tid; langsomt tempo,X,Langsomheten i systemet gjorde alle frustrerte.,The slowness of the system frustrated everyone.,
elongated,B2,adjective,langstrakt,X,,Old Norse,stor i lengden,X,Norge er et langstrakt land med stor variasjon i klima.,Norway is an elongated country with great variation in climate.,
"far, a long way",A2,adverb,langt,X,,,"med stor avstand; fjernt; brukt i uttrykk for motsetning; med stor tidsavstand; framskreden i tid; mye, i stor grad",X,Det er langt frem til resultatet foreligger.,The results are still a long way off.,
"far from, far from it",B1,expression,"langt fra, langt ifra",X,,,på ingen måte; slett ikke,X,Hun er langt fra noe fjols.,She is far from a fool.,
tedious,B2,adjective,langtekkelig,X,,,langvarig og kjedsommelig,X,"Møtet var langtekkelig, og mange mistet konsentrasjonen.",The meeting was tedious and many people lost concentration.,
long-term tendency,C,en,langtidstendens,X,,,"tendens, utvikling som har vært merkbar eller synlig gjennom lang tid",X,Urbanisering er en langtidstendens.,Urbanization is a long-term tendency.,
long-term trend,C,en,langtidstrend,X,,,trend som har vært merkbar eller synlig gjennom lang tid,X,Økt bruk av teknologi er en langtidstrend.,Increased use of technology is a long-term trend.,
long-term weather forecast,B2,et,langtidsvarsel,X,,,værvarsel for en lengre periode enn et par døgn,X,Langtidsvarselet meldte regn hele uka.,The long-term forecast predicted rain all week.,
"lengthy, long-lasting",B2,adjective,langvarig,X,,Old Norse,som varer lenge,X,Forholdet var preget av en langvarig konflikt.,The relationship was characterized by a long-term conflict.,
"loanword, loan word",B2,et,lånord,X,,,ord som er tatt opp fra et annet språk (og som ikke lenger kjennes fremmed),X,Kafé er et lånord som kommer fra fransk.,Café is a loan word that comes from French.,
lance,B2,ei,lanse,X,[la`nsə],Latin via French via German,spisst støt- eller kastevåpen med langt skaft,X,Riddere brukte en lanse i kampene sine.,Knights used a lance in their battles.,
launch,B2,verb,lansere,X,[laŋse:´rə],,"slå til lyd for noe nytt, introdusere på markedet; føre frem, sende ut, offentliggjøre",X,Boka hans var oversatt til svensk og skulle lanseres om et par uker.,His book had been translated into Swedish and was due to be launched in a couple of weeks.,
launch,B2,ei,lansering,X,[laŋse:´riŋ],,det å lansere; det å presentere eller introdusere noe nytt,X,De gledet seg til lanseringen av den nye nettsiden.,They were looking forward to the launch of the new website.,
"ship light, lantern",B2,ei,lanterne,X,,Greek via Latin via French,signallys på skip og fly; (skips)lykt,X,Vi tente lanternen for å lyse opp veien om natten.,We lit the lantern to illuminate the road at night.,
"note, sheet",A2,en,lapp,X,,Old Norse,"stykke av tøy, skinn eller lignende, bot; avrevet eller tildannet papirstykke, etikett, merke; pengeseddel; førerkort; flik som henger ned; innskjæring på et blad som ikke går mer enn halvveis inn mot midtnerven; lite stykke med jord; liten, tykk pannekake",X,Han skrev en lapp med handlelisten.,He wrote a note with the shopping list.,
patch,B1,verb,lappe,X,,,"sette lapp på; bøte, reparere",X,Hun måtte lappe hullet i buksa si.,She had to patch the hole in her pants.,
mishmash,A2,en,lapskaus,X,,,"matrett av kjøttbiter, oppskårne poteter og grønnsaker (i en saus)",X,Vi lagde en deilig lapskaus til middag.,We made a delicious stew for dinner.,
laptop,A2,en,laptop,X,[læ´ptåp],English,bærbar datamaskin der skjermen kan legges ned over tastaturet,X,Jeg kjøpte en ny laptop til studiene mine.,I bought a new laptop for my studies.,
thigh,A1,et,lår,X,[lå:r],Old Norse: lær,parti mellom hofte og kne på mennesker og dyr,X,Han fikk et sår på låret etter fotturen.,He got a wound on his thigh after his hike.,
"dead leg, thigh bruise",B2,ei,lårhøne,X,,,"skade som en får av slag, spark eller lignende mot låret",X,Han fikk en lårhøne under fotballkampen.,He got a dead leg during the football match.,
noise,B2,en,larm,X,,,"bråk, rabalder",X,Larmen fra byggeplassen holdt oss våkne hele natten.,The noise from the construction site kept us awake all night.,
make noise,B2,verb,larme,X,,,"lage larm, bråke",X,Byen larmer hele natten på grunn av all trafikken.,The city is noisy all night because of all the traffic.,
larva,A2,ei,larve,X,,,virvelløst dyr i umodent stadium etter klekkingen og før forvandlingen til voksen,X,Larven vil snart forvandle seg til en sommerfugl.,The caterpillar will soon transform into a butterfly.,
caterpillar,B1,en,larve,X,,Latin: larva,(virvelløst) dyr i umodent stadium etter klekkingen og før forvandlingen til voksen; åme; streng av avsatt masse fra elektrode under sveising,X,Vi fant en larve på bladet.,We found a caterpillar on the leaf.,
lock,A2,en-et,lås,X,,Old Norse: láss,mekanisme til å stenge noe med; innretning til å feste eller sikre noe med; det å være eller bli låst; notsteng,X,Jeg låste døra før jeg dro hjemmefra.,I locked the door before I left home.,
lockable,B2,adjective,låsbar,X,,,som kan låses,X,Denne kofferten er låsbar for ekstra sikkerhet.,This case is lockable for extra security.,
lock,A2,verb,låse,X,,Old Norse: læsa,stenge (med lås),X,Du må låse opp døra med denne nøkkelen.,You must unlock the door with this key.,
unlock,B1,expression,låse opp,X,,,åpne noe som har vært lukket eller stengt med lås,X,Hun måtte låse opp døren.,She had to unlock the door.,
laser,B1,en,laser,X,[la:´sər],English,"apparat som sender ut en bunt intense lysstråler som er parallelle, har samme frekvens og er i fase",X,De brukte en kraftig laser til å skjære gjennom metallet.,They used a powerful laser to cut through the metal.,
laser treatment,B2,ei,laserbehandling,X,,English,laserterapi,X,Han fikk laserbehandling for å fjerne arr på huden.,He received laser treatment to remove scars on his skin.,
laser beam,B2,en,laserstråle,X,,English,lysstråle fra laser,X,Laserstrålen var så intens at den kunne skjære gjennom stål.,The laser beam was so intense that it could cut through steel.,
laser treatment,C,en,laserterapi,X,,English,behandling av fysiske lidelser med laveffektslaser,X,Laserterapi ble brukt for å lindre smerten etter operasjonen.,Laser therapy was used to relieve the pain after surgery.,
tons,B2,adverb,lassevis,X,,,i lass; store mengder,X,Hun hadde lassevis av penger.,She had tons of money.,
vice,B2,ei,last,X,,Old Norse: lǫstr,"dårlig eller umoralsk vane; feil; skade, overlast",X,Bilen hadde en tung last med varer.,The car was carrying a heavy load of goods.,
"load, cargo",B1,ei,last,X,,German,gods som fraktes med transportmiddel,X,Lasten på skipet besto av containere.,The cargo on the ship consisted of containers.,
load,A2,verb,laste,X,,German,føre last om bord i et skip; lesse på for eksempel en vogn; ta inn last,X,Skipet er lastet med tømmer.,The ship is loaded with timber.,
download,B1,expression,laste ned,X,,German,overføre data fra en ekstern lagerenhet til sin egen lagerenhet,X,Jeg må laste ned den nye appen til mobilen min.,I need to download the new app to my phone.,
upload,B1,expression,laste opp,X,,German,overføre data fra sin egen lagerenhet til en ekstern lagerenhet,X,Kan du hjelpe meg med å laste opp bildene til nettsiden?,Can you help me upload the images to the website?,
cargo ship,B1,en,lastebåt,X,,German,"båt som er bygd for å føre last, særlig stykkgods",X,Lastebåten ankom havnen med varer fra Asia.,The cargo ship arrived at the port with goods from Asia.,
truck,A2,en,lastebil,X,,German,bil med lasteplan,X,Lastebilen fraktet store mengder varer til butikken.,The truck transported large quantities of goods to the store.,
pack animal,B2,et,"lastedyr, lastdyr",X,,German,kløvdyr,X,Esler ble brukt som lastdyr i fjellene.,Donkeys were used as pack animals in the mountains.,
load capacity,B2,ei,lasteevne,X,,German,evne som et transportmiddel har til å føre last,X,Skipets lasteevne er avgjørende for hvor mye det kan frakte.,The ship's load capacity is crucial to how much it can carry.,
loading platform,B2,et,lasteplan,X,,German,plan til last bak førerhuset på en lastebil,X,Hyttegjester plasserte varene sine på lasteplanet.,Cabin guests placed their goods on the loading platform.,
"cargo hold, hold of a ship",B2,et,lasterom,X,,German,rom (i fartøy) til last,X,Det er mye last i lasterommet på skipet.,There is a lot of cargo in the ship's hold.,
poor work,C,et,lastverk,X,,Old Norse,dårlig arbeid,X,Slurvete håndverk resulterte i lastverk.,Sloppy craftsmanship resulted in poor work.,
lazy,A2,adjective,lat,X,,,"uvillig til å gjøre noe, uten energi og tiltakslyst, doven",X,Han er litt lat og liker ikke å trene.,He's a bit lazy and doesn't like to exercise.,
"song, tune",A2,en,låt,X,,,"lyd, tone; musikkstykke, melodi, slått",X,Den nye låta på radioen er veldig fengende.,The new song on the radio is very catchy.,
"pretend, seem, appear",B2,verb,late,X,,Old Norse: láta,"gi skinn av; gi seg ut for å være; simulere; sette i en tilstand; ha opp eller igjen; gi fra seg; avhende; tape, miste; ytre seg; uttale seg",X,Lat som om du er hjemme!,Make yourself at home!,
sound,B2,verb,låte,X,,,"gi en lyd eller tone fra seg, lyde, klinge",X,Det låter fint når hun synger den sangen.,It sounds great when she sings that song.,
abandon,B2,expression,late noen i stikken,X,,,rømme fra eller svikte noen i nød,X,Du kan ikke late noen i stikken når de faktisk trenger hjelp.,You can’t abandon someone when they actually need help.,
laze,B2,expression,late seg,X,,,dovne seg; drive dank,X,Han har latt seg hele helgen i stedet for å gjøre det han lovet.,He lazed around all weekend instead of doing what he promised.,
seem,A2,expression,late til,X,,,gi inntrykk av; se ut til,X,"Hun late til å forstå, men stilte ingen oppfølgingsspørsmål.","She pretended to understand, but didn’t ask any follow-up questions.",
urinate,B2,expression,late vannet,X,,,"tisse, urinere",X,Jeg må bare late vannet før vi drar.,I just need to pee before we go.,
"latent, dormant",B2,adjective,latent,X,,Latin: latens,"skjult, usynlig",X,Noen virus kan ligge latent i kroppen i lang tid.,Some viruses can lie latent in the body for a long time.,
Latin,B1,en-et,latin,X,,Latin,språk i Roma og hele Romerriket i oldtiden,X,De leste en gammel bok på latin.,They read an old book in Latin.,
Latin America,A2,et,Latin-Amerika,X,,,de landene i Amerika hvor et romansk språk er det dominerende språket,X,Latin-Amerika har et rikt kulturliv.,Latin America has a rich cultural life.,
Latin-American person,A2,en,latinamerikaner,X,,,"person fra Latin-Amerika, det vil si de statene i Amerika der spansk eller portugisisk er offisielt språk",X,Hun er en stolt latinamerikaner.,She's a proud Latin American.,
Latin American,B1,adjective,latinamerikansk,X,,,som gjelder Latin-Amerika og latinamerikanere,X,Hun skrev masteroppgave om latinamerikansk litteratur.,She wrote her master’s thesis on Latin American literature.,
Latino person,A2,en,latino,X,,,latinamerikaner; kortord for latinomusikk,X,Han identifiserer seg som en latino.,He identifies himself as a Latino.,
Latin,B2,adjective,latinsk,X,,,som gjelder latin og latinere,X,Han skrev en avhandling om latinsk poesi.,He wrote a dissertation on Latin poetry.,
"big armful, big load",C,ei,latmannsbør,X,,,svært stor bør (så en slipper å gå flere ganger),X,Vi kjøpte ei latmannsbør for å slippe å gå så mange turer.,We bought an oversized barge so we wouldn’t have to make so many trips.,
laziness,B1,en,latskap,X,,,det å være lat; dovenskap,X,Latskap er ofte den største hindringen for suksess.,Laziness is often the greatest obstacle to success.,
songwriter,B2,en,låtskriver,X,,,"person som komponerer (og/eller skriver tekst til) låt(er); komponist (for jazz-, rocke- eller popmusikk)",X,Han er en talentfull låtskriver og har skrevet flere hits.,He is a talented songwriter and has written several hits.,
latte,A2,en,latte,X,[la`ttə],English,kaffe latte,X,Jeg bestilte en stor latte på kafeen.,I ordered a large latte at the café.,
laughter,A2,en,latter,X,,Old Norse: hlátr,det å le; noe som en ler av,X,Latteren spredte seg raskt i rommet.,The laughter spread quickly through the room.,
laughing fit,B2,ei,latterkrampe,X,,,latter som er vanskelig å stoppe,X,Hun fikk latterkrampe da hun så opptaket.,She had a laughing fit when she saw the recording.,
ridiculous,B1,adjective,latterlig,X,,Old Norse,"som vekker latter og spott, komisk, dum",X,Det er latterlig hvor mye de krever for billettene.,It's ridiculous how much they charge for the tickets.,
"ridicule, mock, deride",B2,verb,latterliggjøre,X,,,"gjøre latterlig, gjøre til latter, gjøre narr av",X,"Han forsøkte å latterliggjøre ideen, men ingen lo.","He tried to ridicule the idea, but no one laughed.",
"mirthful, given to laughter",C,adjective,lattermild,X,,,som har lett for å le,X,Bestemoren min er så lattermild at hun ler før vitsen er ferdig.,My grandmother is so mirthful that she laughs before the joke is finished.,
hilarious,B2,adjective,lattervekkende,X,,,som fremkaller latter på grunn av for eksempel stor underholdningsverdi,X,"Filmen var lattervekkende, og vi lo gjennom hele kvelden.",The movie was hilarious and we laughed throughout the evening.,
Latvia,A1,et,Latvia,X,,,"republikk i Nord-Europa som grenser til Estland i nord, Litauen i sør, Russland og Belarus i øst og Østersjøen i vest",X,Latvia ble medlem av EU i 2004.,Latvia joined the EU in 2004.,
Latvian,B2,adjective,latvisk,X,,,som gjelder Latvia og latviere,X,Han har en latvisk bakgrunn.,He has a Latvian background.,
Latvian,B2,en-et,latvisk,X,,,baltisk språk hovedsakelig brukt i Latvia,X,Hun snakker litt latvisk etter oppholdet i Latvia.,She speaks some Latvian after her stay in Latvia.,
guild,B2,et,laug,X,[læug],Old Norse,sammenslutning av håndverksmestrer innenfor samme fag på et sted,X,Håndverkerne var en del av et gammelt laug i byen.,The craftsmen were part of an old guild in the city.,
"low, short",A2,adjective,"lav, låg",X,[la:v],Old Norse: lágr,"som har liten høyde; som står eller er stilt langt nede; som ligger langt nede på toneskalaen; dyp, mørk; dempet, svak; som er liten i tall eller verdi; som er langt nede på en viss målestokk; simpel, ufin",X,Hyllen er for lav til å oppbevare høye bøker.,The shelf is too low to store tall books.,
lava,B1,en,lava,X,,Latin via Italian,"glødende, flytende stein som strømmer ut fra en vulkan; størknet lava",X,Lava strømmet ned fjellsiden etter vulkanutbruddet.,Lava flowed down the mountainside after the volcanic eruption.,
"barn, granary",A2,en,låve,X,[lå:`və],Old Norse,"bygning til å oppbevare stråfôr og korn i; løe; lagerrom for stråfôr og korn, oftest i andre etasje i en løe; driftsbygning der lagerrom for høy og korn, fjøs og eventuelt andre husdyrrom er samlet under ett tak",X,Hesten sto inne i låven.,The horse stood inside the barn.,
"be relaxed, low shoulders",B2,expression,lave skuldre,X,,,tilstand med avslappet holdning,X,Han har lave skuldre i forhold til ordførervervet.,He's relaxed in regards to the chairmanship.,
lavender,B2,en,lavendel,X,,Latin,"slekt i leppeblomstfamilien, særlig busken Lavandula vera med blåfiolette blomster som blant annet blir brukt i parfyme",X,Lavendel brukes ofte i duftposer for å friske opp luften.,Lavender is often used in scented sachets to freshen the air.,
"lower-standing, inferior, primitive",C,adjective,"laverestående, lågerestående",X,,,som står på et forholdsvis lavt utviklingstrinn; primitiv,X,I eldre tid ble visse folkegrupper feilaktig betraktet som laverestående av kolonimaktene.,"In ancient times, certain groups of people were mistakenly regarded as inferior by the colonial powers.",
recession,B2,en,"lavkonjunktur, lågkonjunktur",X,,,tid med økonomisk stagnasjon eller tilbakegang,X,Mange bedrifter sliter i en lavkonjunktur.,Many companies struggle in a recession.,
lowland,B2,et,lavland,X,,Old Norse,land(område) som ligger under 200 meter over havet,X,Det flate lavlandet er perfekt for jordbruk.,The flat lowlands are perfect for farming.,
"low-key, low",B2,adjective,"lavmælt, lågmælt",X,,,"med lav, svak stemme; dempet, stillfarende",X,Hun snakket med lavmælt stemme for ikke å vekke babyen.,She spoke in a low voice so as not to wake the baby.,
"low level, low point, all-time low",B2,et,"lavmål, lågmål",X,,,"minstemål, minimum; nedre grense for hva som er akseptabelt",X,Bestanden av gaupe er på et lavmål.,The lynx population is at an all-time low.,
low-cost company,B2,et,lavprisselskap,X,,,"virksomhet, for eksempel flyselskap, med lave priser",X,Flere lavprisselskaper tilbyr billige flybilletter til storbyer i Europa.,Several low-cost airlines offer cheap flights to major cities in Europe.,
low point,B1,et,lavpunkt,X,,,laveste punkt i et forløp,X,"Det var et lavpunkt i karrieren, men han kom seg videre.","It was a low point in his career, but he moved on.",
low season,B2,en,lavsesong,X,,Old Norse,stille periode utenfor sesongen; dårlig del av sesongen,X,Det er lavsesong for turister i vintermånedene.,The winter months are the low season for tourists.,
low status,B2,en,"lavstatus, lågstatus",X,,,det at noe står lavt i folks omdømme eller har lav sosial status,X,Yrket har lavstatus blant unge i dag.,The profession has low status among young people today.,
low under the ceiling,B2,expression,lavt under taket,X,,Old Norse,"lite vidsyn, liten toleranse",X,Han synes det er lavt under taket i foreningen.,He thinks there is a low ceiling in the association.,
low pressure,B2,et,"lavtrykk, lågtrykk",X,,Old Norse,(område med) lavt lufttrykk,X,Det kommer inn et lavtrykk fra Atlanterhavet.,A low pressure is coming in from the Atlantic.,
Low German,C,en-et,"lavtysk, lågtysk",X,,,"nordtysk språk eller dialekt; platt-tysk, nedertysk",X,Norsk har mange lånord fra lavtysk.,Norwegian has many words borrowed from Low German.,
low tide,B2,et,lavvann,X,,Old Norse,"laveste vannstand ved den periodiske tidevannsvariasjonen i havet, fjære",X,Det er lavvann to ganger i døgnet.,There is a low tide twice a day.,
"lavvo, Sami tent",B2,en,lavvo,X,,Sami,kjegleformet telt der teltstendene går sammen til et røykhull i midten; sommertelt som samene bruker når de flytter med reinen,X,Vi overnattet i en lavvo under stjernehimmelen.,We spent the night in a lavvo under the starry sky.,
short,B1,adjective,"lavvokst, lågvokst",X,,,kortvokst,X,"Hun er lavvokst, men sterk.","She's short, but strong.",
laugh,A1,verb,le,X,[le:],Old Norse: hlæja,"skratte, flire; frembringe ensartede, støtvise lyder gjennom munnen som uttrykk for munterhet eller glede, eller hån, forakt eller lignende",X,Narr meg ikke til å le!,Don't make me laugh!,
laugh someone out,B2,expression,le noen ut,X,,Old Norse,gjøre noen til latter,X,Hun ville le ham ut hvis han bortforklarte tabbene.,She would laugh at him if he explained away his mistakes.,
"laugh one's head off, laugh like crazy, laugh oneself silly, howl, roar",C,expression,le seg fillete,X,,,le så mye at en nesten tar skade; gapskratte,X,Filmen var så morsom at vi lo oss fillete.,The movie was so funny that we laughed ourselves silly.,
joint,B1,et,ledd,X,,,"forbindelse mellom to eller flere knokler; forbindelsen mellom to bein eller beinelementer, hvor beina kan bevege seg i forhold til hverandre",X,Han fikk en skade i leddet etter fallet.,He got a joint injury after the fall.,
jointed,B2,adjective,"leddete, leddet",X,,,som består av ledd; leddelt,X,Den leddete strukturen til edderkoppen gjør den veldig bevegelig.,The articulated structure of the spider makes it very mobile.,
clause,B2,ei,leddsetning,X,,,setning som fungerer som ledd i en annen setning,X,En leddsetning må være en del av en annen setning for å gi mening.,A subordinate clause must be part of another sentence to make sense.,
arthropod,B2,et,leddyr,X,,,"dyrerekken Arthropoda som omfatter insekter, edderkoppdyr, krepsdyr og tusenbein",X,Edderkopper er en type leddyr.,Spiders are a type of arthropod.,
"aversion, disgust",C,en,lede,X,,Danish,dyp ulystfølelse,X,Hun kjente en sterk lede ved alt som tidligere hadde gitt henne glede.,She felt a strong aversion to everything that had previously given her pleasure.,
