engelsk,CEFR,gender,ord,uttale,etymologi,definisjon,eksempel
fool,B2,en,narr,,German,komisk utkledd person som skal more folk; narraktig person,Han gjorde seg til narr for hele bygda.
narration,B2,en,narrasjon,,Latin,det å skape en fortelling,Dialog er den vesentlige formen for narrasjon i denne romanen.
narrative,B2,et,narrativ,,Latin,fortelling,
fool,B1,verb,narre,,German,"lure, bedra, bløffe",En stripe sol i horisonten narrer dere til å tro at det er morgen.
narcissism,C,en,narsissisme,[naʃisi´smə],Greek,"sykelig selvopptatthet, selvforelskelse; personlighetsforstyrrelse der enkeltpersoner har en overdreven interesse for og selvopptatthet i seg selv",Hans narsissisme gjorde det vanskelig å samarbeide med ham.
narcissist,C,en,narsissist,[naʃisi´st],Greek,person som har anlegg for eller ligger under for narsissisme; selvdyrker; selvnyter,Samvittighetslivet er også forkrøplet for den typiske voksne narsissisten.
nation,B1,en,nasjon,[naʃo:´n],Latin: natio,"en gruppe mennesker som føler seg som en enhet på grunn av felles historie og kultur, oftest også felles språk",Hele nasjonen sto bak kravet.
national,B1,adjective,nasjonal,,Latin,innenlandsk,Det nasjonale flagget er et viktig symbol på nasjonal identitet.
national minority,B2,expression,nasjonal minoritet,,Latin,"folkegruppe med lang historisk tilknytning til et land som staten har forpliktet seg til å støtte i arbeidet med å ta vare på tradisjon, religion, kultur og språk","Nasjonale minoriteter i Norge er jøder, romanifolk/tatere, rom, kvener og skogfinner."
national sports venue,B2,et,nasjonalanlegg,,Latin,"større idrettsanlegg brukt i internasjonale konkurranser og mesterskap",Dette nasjonalanlegget brukes til store sportsbegivenheter.
national bank,B2,en,nasjonalbank,,Latin,"et lands seddelbank eller sentralbank",Norges nasjonalbank har ansvaret for pengepolitikken.
national budget,B2,et,nasjonalbudsjett,,Latin,"overslag over ventet økonomisk utvikling, utgifter og inntekter i et land for året som kommer eller annen fremtidig periode",Nasjonalbudsjettet legges frem hver høst.
national day,A2,en,nasjonaldag,,Latin,"årlig festdag til minne om en begivenhet i et folks historie",Syttende mai er nasjonaldag i Norge.
national dress,B2,ei,nasjonaldrakt,,Latin,"drakt som er særegen for folk i et land eller et distrikt",Skotsk kilt eller japansk kimono er eksempler på kjente nasjonaldrakter.
national color,B2,en,nasjonalfarge,,Latin,"fargen eller fargene i et lands flagg eller riksvåpen",Blått og hvitt er nasjonalfargene i Finland.
patriotism,B2,en,nasjonalfølelse,,Latin,følelse av å være eller tilhøre en nasjon,Nasjonalfølelsen er aldri sterkere enn på syttende mai.
national assembly,B2,ei,nasjonalforsamling,,Latin,et lands folkevalgte lovgivende forsamling,Stortinget er Norges nasjonalforsamling.
national bird,B2,en,nasjonalfugl  ,,Latin,"fugl, mer eller mindre offisielt utvalgt som den mest representative, typiske for et land",Ørnen er USAs nasjonalfugl.
national gallery,B2,et,nasjonalgalleri,,Latin,"statlig museum for utstilling av bildende kunst med stor nasjonal verdi",Nasjonalgalleriet har en imponerende samling av kunst.
national guard,B2,en,nasjonalgarde,,Latin,væpnet borgermilits i Paris og andre franske byer 1789–1872; frivillig milits som i fredstid er underlagt den enkelte stats guvernør,Nasjonalgarden bistår militæret i krisesituasjoner.
national anthem,B2,en,nasjonalhymne,,Latin,"nasjonalsang",Nasjonalhymnen ble spilt før kampen begynte.
nationalize,B2,verb,nasjonalisere,,Latin,gjøre til statseiendom; sosialisere,All tungindustri skal nasjonaliseres.
nationalism,B2,en,nasjonalisme ,,Latin,ideologi som sterkt betoner verdien av nasjonen og den nasjonale egenart,Nasjonalismen vokste frem som en sterk politisk kraft.
nationalist,B2,en,nasjonalist,,Latin,"forkjemper for en nasjonal selvstendighetspolitikk, for nasjonale interesser og hjemlig kultur",Han identifiserer seg som en nasjonalist.
nationalistic,B2,adjective,nasjonalistisk,,Latin,"som kjennetegner nasjonalisme eller nasjonalister",Partiets politikk er svært nasjonalistisk.
nationality,B1,en,nasjonalitet,,Latin,"det å høre til en bestemt nasjon; nasjon, folk","Han har norsk nasjonalitet, men bor i utlandet."
nationality principle,C,et,nasjonalitetsprinsipp,,Latin,"prinsipp som går ut på at politiske grenser bør trekkes slik at folket i tilstrekkelig grad kan samles rundt felles historie, kultur og språk",Nasjonalitetsprinsippet regulerer hvem som får statsborgerskap.
national literature,B2,en,nasjonallitteratur,,Latin,"(fellesbetegnelse for) de mest sentrale og viktige verkene i en nasjons litteratur",Dag Solstads «Roman 1987» har sin fortjente plass i den norske nasjonallitteraturen.
national park,B1,en,nasjonalpark,,English,"område som er fredet mot inngrep eller utnyttelse som kan endre naturforholdene og eventuelle kulturminner",Vi dro på tur til nasjonalparken for å nyte naturen og det vakre landskapet.
national plant,B2,ei,nasjonalplante  ,,Latin,plante mer eller mindre offisielt utvalgt som den mest representative for et land,Gran er Norges nasjonalplante.
national product,B2,et,nasjonalprodukt,,Latin,"verdien av alle varer og tjenester som produseres i et land i løpet av ett år",Bruttonasjonalproduktet måler verdien av alle varer og tjenester.
national accounting,C,et,nasjonalregnskap,,Latin,"oversikt over et lands økonomiske virksomhet for et visst år",Nasjonalregnskapet viser en oversikt over landets økonomi.
Romanticism,C,en,nasjonalromantikk,,Latin,"åndsstrømning i de nordiske landene omkring midten av 1800-tallet som var preget av interesse for den nasjonale fortiden og de folkelige kulturverdiene",Nasjonalromantikken fremhevet det norske landskapet og tradisjonene.
national anthem,B1,en,nasjonalsang,,Latin,fedrelandssang,Nasjonalsangen synges ved offisielle arrangementer.
National Socialism,C,en,nasjonalsosialisme,,Latin,"fascistisk bevegelse som oppstod i Tyskland etter den første verdenskrigen, og som hadde makten der 1933–45; nazisme",Nasjonalsosialismen hadde stor innflytelse i Europa på 1930-tallet.
National Socialist,C,en,nasjonalsosialist,,Latin,"tilhenger av nasjonalsosialismen",Han er en selverklært nasjonalsosialist.
national language,B2,et,nasjonalspråk,,Latin,"språk som fungerer som fellesspråk i en nasjonalstat, samtidig som det kan eksistere flere offisielt anerkjente språk",Norsk er det offisielle nasjonalspråket i Norge.
nation-state,B2,en,nasjonalstat,,Latin,"stat der (storparten av) befolkningen utgjør en språklig, kulturell og historisk enhet",Norge er en nasjonalstat med en sterk nasjonal identitet.
national theater,B2,et,nasjonalteater,,Latin,"teater som særlig skal presentere og tjene landets egen dramatiske kunst",Nasionalteateret har en lang historie.
night,A1,ei,natt,[nat:],Old Norse,den mørke delen av døgnet,De er så forskjellige som natt og dag.
night and day,B1,expression,"natt og dag",,Old Norse,"døgnet rundt; hele tiden",Kontrasten mellom natt og dag er tydelig i Nord-Norge om sommeren.
night sky,A2,en,nattehimmel,,Old Norse,himmel om natten,Kometen var synlig på nattehimmelen.
"nightly, nocturnal",B2,adjective,nattlig,,Old Norse,"som hører til natta, som finner sted om natta",Han foretrekker nattlige aktiviteter når det er roligere.
communion,B2,en,nattverd,,Old Norse: náttverðr,"sakrament i den kristne kirken, hvor en tar imot et lite stykke alterbrød og en liten mengde nattverdsvin som symbol på at en tar imot Jesu styrke",
nature,A2,en,natur,[natu:´r],Latin,"den sanselige eller materielle verden som helhet, den ytre virkelighet i motsetning til åndens verden",Det ligger i sakens natur.
natural heritage,B2,en,naturarv,,Latin,"naturområde eller naturfenomen sett som en verdi som går i arv fra generasjon til generasjon, og derfor må vernes",Denne skogen er en del av vår nasjonale naturarv.
natural phenomenon,B2,et,naturfenomen,,Latin,"noe som fins eller skjer i naturen, og som gjerne oppfattes som sjeldent eller vanskelig å forstå",Nordlyset er et fascinerende naturfenomen.
natural rubber,B2,en,naturgummi,,Latin,"slitesterk gummi med god rivestyrke, som utvinnes fra forskjellige tropiske og subtropiske planter",Naturgummi brukes i produksjonen av mange dagligdagse produkter.
"naturism, nudism",C,en,naturisme,,Latin,bevegelse som ønsker å skape bedre helse og sunnere kroppskultur ved at menneskene i størst mulig utstrekning går nakne i naturlige sammenhenger som ved bading og soling,Naturismen legger vekt på et enkelt og naturlig liv.
force of nature,B2,ei,naturkraft,,Latin,kraft som virker i naturen,Vinden viste sin naturkraft under stormen.
natural,A2,adjective,naturlig,[natu:´rli],Latin,"instinktiv, medfødt, iboende; som hører til, som er eller som skjer i samsvar med naturen; uten ytre inngrep; forståelig, rimelig; som svarer til naturen eller virkeligheten; som ikke er tilgjort; uanstrengt, ekte, likefrem",Denne læreren hadde en naturlig autoritet.
natural departure,B2,expression,naturlig avgang,,Latin,"reduksjon av arbeidsstokk uten oppsigelser, for eksempel gjennom pensjonering",Naturlig avgang skjer når ansatte går av med pensjon.
natural selection,C,expression,naturlig utvalg,,Latin,det forhold at de best utrustede plante- og dyreartene overlever og formerer seg videre; det at individer som er best tilpasset de rådende miljøforholdene til enhver tid har en større sannsynlighet for å etterlate seg flere avkom enn individer som er mindre tilpasset; naturlig seleksjon,Naturlig utvalg er en viktig mekanisme i evolusjonsteorien.
natural numbers,B2,expression,naturlige tall,,Latin,"positive hele tall, som 1, 2, 3 og så videre, av og til medregnet 0","De naturlige tallene inkluderer 1, 2, 3, og så videre."
of course,B1,adverb,naturligvis,,Latin,selvfølgelig,De kom naturligvis med mange forslag.
natural resource,B2,en,"naturressurs, naturresurs",,Latin,"forekomst i naturen som mennesket kan gjøre seg (økonomisk) nytte av",Olje er en viktig naturressurs for Norge.
scenic,B2,adjective,naturskjønn,,Latin,"som utgjør eller befinner seg i et område med vakker, skjønn natur",Denne fjorden er kjent for sitt naturskjønne landskap.
lifelike,B2,adjective,"naturtro, naturtru",,Latin,som ligner originalen sterkt,
natural science,B2,en,naturvitenskap,,Latin,"læren om naturfenomenene og lovene som de er underlagt",Naturvitenskapen har gitt oss en dypere forståelse av verden.
nautical,B2,adjective,nautisk ,[næu´tisk],Greek,"som hører til sjøfarten",Sekstanten er et nautisk instrument.
"current, present",B2,adjective,nåværende,,,"som finner sted, som er, som en har for øyeblikket","Den andre skuten er oppkalt etter Kronprins Fredrik, men ikke etter den nåværende Kronprins Fredrik."
navigation,B2,en,navigasjon,,Latin,læren om hvordan en bestemmer et skips eller et flys posisjon og kurs; kunsten å navigere,Moderne navigasjon gjør det lettere å finne frem på ukjente steder.
navigation satellite,C,en,navigasjonssatellitt,,Latin,satellitt som gjør det mulig for skip og fly å foreta nøyaktige posisjonsbestemmelser,Navigasjonssatellitter er avgjørende for GPS-systemer.
navigate,B2,verb,navigere,[navige:´rə],Latin,"føre, styre et skip eller et fly; bestemme posisjon og kurs",Kapteinen måtte navigere gjennom en komplisert rute.
belly button,A2,en,navle,,Old Norse: nafli,"ringformet, inntrukket arr etter navlestrengen på bukveggen; sentrum, midtpunkt",Han tror hjembygda er verdens navle.
name,A1,et,navn,[navn],Old Norse: nafn,"ord som noen eller noe kalles ved; ordkombinasjon eller et uttrykk som brukes for å identifisere en person, et sted, et objekt, eller til og med en idé",Plantearten fikk navn etter oppdageren.
name day,B1,en,navnedag,,Old Norse,"særlig i katolske land: dag der ens fornavn er ført opp i almanakken",Da han var liten telte han dager til julaften og bursdagen sin og til og med til navnedagen.
the name doesn't embarrass anyone,B2,expression,navnet skjemmer ingen,,Old Norse,"det er ikke navnet, men handlingene en gjør, som bringer skam",
"signature, autograph",B2,et,navnetrekk,,Old Norse,"en persons navn slik hen selv skriver det; autograf, signatur",Han satte sitt navnetrekk på avtalen.
name,B2,verb,navngi,,Old Norse,"sette navn på, oppgi navnet på",Barn og unge oppfordres til å ikke navngi seg på internett.
noun,B2,et,navnord,,Old Norse,substantiv,Et navnord er en type substantiv.
Nazism,B2,en,nazisme,[nasi´smə],Latin via German,fascistisk bevegelse som oppsto i Tyskland etter den første verdenskrigen,Nazismen spredte seg raskt i Tyskland på 1930-tallet.
Nazi,B2,en,nazist,[nasi´st],Latin via German,tilhenger av nazismen,Han var en overbevist nazist under krigen.
"warning, note",A2,et,NB,[en: be:],Latin,"forkorting for notabene",NB: Husk å levere inn oppgaven i tide!
"beak, bill",B1,en-et,nebb ,,,"tilspisset, hornkledd del av kjevepartiet hos fugler og enkelte andre dyr",Stæren hadde en mark i nebbet. Enhver fugl synger med sitt nebb.
platypus,B2,et,nebbdyr ,,,"kloakkdyr med snute som ligner et andenebb, Ornithorhynchus anatinus",Nebbdyr er et merkelig pattedyr fra Australia.
cheeky,B2,adjective,"nebbete, nebbet",[ne`b:ətə],,"nesevis, frekk",Hun svarte med en nebbete kommentar.
down,A1,adverb,ned,[ne:d],Old Norse: niðr,"fra høyere til lavere grad, nivå, trinn eller lignende",Han gikk ned trappen.
precipitation,B2,en,nedbør,[ne:`dbør],Old Norse,"felles betegnelse for regn, snø og hagl",Di har ikke hatt nedbør på lenge. Det varsles tyngre nedbør utover dagen.
drainage basin,C,et,nedbørfelt,,Old Norse,"område som har avløp til et vassdrag, nedslagsområde",Dette nedbørfeltet samler vann fra et stort område.
"down, below",A2,adverb,nede,[ne:`də],Old Norse: niðri,"på et sted som ligger lavere enn et annet (uttrykt eller underforstått)",Jeg bor nede i første etasje.
defeat,B2,et,nederlag,,German,"det å tape, bli slått",Napoleon led nederlag i slaget ved Waterloo.
the Netherlands,A2,et,Nederland,,,et monarki i det nordvestlige Europa som i øst grenser til Tyskland og i sør til Belgia,Nederland er kjent for sine tulipaner og vindmøller.
Dutch,A2,en-et,nederlandsk,[ne:`dərlansk],,språk som tales i Nederland og den nordlige og vestlige delen av Belgia og fransk Flandern,De snakket seg imellom på nederlandsk.
Dutch,A2,adjective,nederlandsk,[ne:`dərlansk],,som gjelder Nederland og nederlendere,Hun har nederlandsk bakgrunn.
Dutch person,B1,en,nederlender,,,"person fra Nederland",Han er en stolt nederlender.
Dutch person,B1,en,nederlending,,,"nederlender",Den nederlendingen jeg møtte var veldig vennlig.
fallout,B2,et,nedfall,,,noe som faller ned,
draw down,B2,verb,nedfelle,,,trekke eller tegne (en linje eller lignende) ned på; avsette bunnfall; bunnfelle,
embed itself,B2,expression,nedfelle seg,,,gjøre seg gjeldende,Disse ideene har nedfelt seg i sinnet hennes.
"decline, decrease",B1,en,nedgang,,,det å gå ned; bevegelse eller retning nedover,Åndslivet var i stadig nedgang.
downgrade,B2,verb,nedgradere,,,sette ned i grad eller klasse; oppheve hemmeligstempling,Deler av kommisjonens rapport kan nedgraderes.
"vanquish, defeat",B2,verb,nedkjempe ,,,overvinne fullstendig ved kamp,
lower oneself,B2,verb,nedlate,,,"gjøre noe som er under ens verdighet",Den adelige dandyen d’Orsay nedlot seg til å male portretter.
"put down, close down",B1,verb,nedlegge,,,"felle (dyr); legge ned, utføre",Vi truet med å nedlegge våre verv.
closure,B2,en,nedleggelse,,,"det å legge ned, avvikle, innstille",
downspout,B2,et,nedløpsrør,,,avløpsrør; nedfallsrenne; nedløp,
lowly,B2,adjective,nedrig,[ne:`dri],German,"sjofel, ussel; som hører til samfunnets laveste lag; gemen; lavsinnet",Romanfiguren er av en om mulig enda mer gigantoman og nedrig støpning enn morfar.
disarmament,B2,ei,"nedrusting, nedrustning",,,"det å ruste ned",Supermaktene blir ikke enige om nedrusting.
relegation,B2,et,nedrykk,,,det å rykke ned til lavere divisjon,
submersible,B2,adjective,nedsenkbar,,,som kan senkes ned,
lower,B2,verb,nedsette,,,"sette ned, redusere",
"downward side, downside",B2,ei,nedside,,,nedre side av noe; (risiko for) økonomisk tap,Jon parkerte på nedsiden av huset.
discouraging,B2,adjective,nedslående,,,"som gjør en motløs og oppgitt; deprimerende, skuffende, trist",
impact,B2,et,nedslag,,,det å slå ned; det å støte mot underlaget etter en bevegelse nedover,Hopperen var ustø i nedslaget.
downcast,B2,adjective,nedslått,,,"slått sammen eller ned; motløs, oppgitt",
snowed-in,B2,adjective,nedsnødd,,,"som er (nesten) borte i snø",Hyttene lå helt nedsnødd.
descend,B2,verb,nedstamme,,,"stamme fra, være etterkommer av",De fleste hunder nedstammer fra ulven.
"vote down, depress",B2,verb,nedstemme,,,forkaste ved avstemning,Forslaget ble nedstemt.
note,B2,verb,nedtegne,,,"skrive ned, feste på papiret",
note,B2,en,nedtegnelse,,,det å nedtegne; notat,Hans rapport fra turen ble en nedtegnelse av nokså omtrentlige fakta.
"countdown, timer",B1,ei,nedtelling,,English,"systematisk prosedyre for klargjøring av for eksempel et romfartøy før oppskyting, som avsluttes med telling av sekundene fra 10 til 0 (startøyeblikket); telling av sekundene ned til startøyeblikket; forberedelse til en kommende hending",Nedtellingen til stortingsvalget er begynt.
depressed,B2,adjective,nedtrykt,,,"mismodig, nedslått",Stemningen var nedtrykt.
negation,B2,en,negasjon,,,nekting; nektingsord,‘Ikke’ og ‘aldri’ er negasjoner.
negative,A2,adjective,negativ,"[ne:´gativ], [ne´g:ativ]",,"nektende; som ikke svarer til forventningene, som mangler noe; motsatt, omvendt; nedrivende, ufruktbar; uvillig, kritisk; som er mindre enn null",Prøven var negativ.
negativity,B2,en,negativitet,,,"det å være negativ; tilstand eller holdning som er preget av pessimisme, motvilje, eller en tendens til å fokusere på det som er dårlig eller ugunstig",
Negro,C,en,neger,,,utdatert og nedsettende: person som hører til eller opprinnelig kommer fra den uensartede befolkningen med mørk hudfarge i Afrika sør for Sahara,
negate,B2,verb,negere,,,"nekte, benekte",
"nail, fingernail",A2,en,negl,[næil],Old Norse: nagl,"hornplate på de ytterste leddene av fingrer og tær hos mennesker og aper; tynn, flat, hornaktig plate som vokser på enden av fingrene og tærne hos mennesker og mange andre dyr","Hendene som hodet hviler mot der hun sitter med albuene støttet på bordet, har naturlige, blanke negler."
cuticle,B2,et,"neglebånd, negleband",,,hudkant innerst på negl; del av neglefalsen som ligger over neglen,Neglebåndene skal vanligvis ikke klippes.
nail inflammation,C,en,neglebetennelse,,,neglerotbetennelse,
nail file,B1,ei,neglefil,,Old Norse,"fil til å file, pusse negler med",
hangnail,B2,ei,negleflis,,,liten bit av neglen eller huden rundt neglen som har løsnet eller revet seg,
nail root,B2,ei,neglerot,,,innerste del av en negl,"Hun følte slik kulde i hendene, sa hun og viste frem ti blodløse fingre med blå neglerøtter."
nail root inflammation,C,en,neglerotbetennelse,,,betennelse i bløtvevet rundt en negl,
no,A1,interjection,nei,,Old Norse: nei,"brukt som uttrykk for at en nekter, avslår, avviser eller protesterer mot noe; brukt som innledning til en vending når en snakker, eller for å motsi noe som har gått forut; brukt i uttrykk for resignasjon; brukt i påminning; brukt sist i en setning for å ta opp igjen en nekting: brukt i utrop og følelsesutbrudd","Nei, jeg har ikke tid i dag."
no,A2,et,nei,,Old Norse: nei,"nektende svar, avslag",Vi kan ikke få mer enn et nei.
curtsy,B1,verb,neie,,,"hilse ved å bøye knærne",Damene neide for dronningen.
no-food,B2,en,neimat,,,"mat en blir oppfordret til å spise lite av, som fett, sukker og alkohol, særlig som del av en slankekur eller diett; fymat",
naysayer,B2,et,neimenneske,,,"person som oftest er negativt innstilt til ting som foreslås",
necrophilia,C,en,nekrofili,,Greek,"seksuell tiltrekning til lik",
necrosis,C,en,nekrose,,Greek,"det at (deler av) et organ i en levende organisme dør bort, for eksempel ved koldbrann eller forbrenning",
necrotic,C,adjective,nekrotisk  ,,Greek,hendøende; som er utsatt for nekrose,
nexus,C,en,neksus,,Latin,"forbindelse mellom to ledd som verken er side- eller underordnet, særlig mellom subjekt og verballedd; forbindelse",
nectar,B2,en,nektar,[ne´ktar],Greek: nektar,sukkerholdig saft i honninggjemmene hos blomster,Med seg hadde de nektar og pollen.
"refuse, decline",A2,verb,nekte ,[ne`ktə],Old Norse: neita,"si nei til, avslå, avvise; bestride riktigheten av, benekte",Dere nekter å innse at patriarkatet er dødt.
nemesis,B2,en,nemesis,[ne:´məsis],Greek: nemesis,skjebnens rettferdige gjengjeldelse,
committee,B2,ei,"nemnd, nevnd",[nem(n)d],,"komite, råd, utvalg",Ifølge loven skulle en nemnd med to leger avgjøre om kvinnen kunne få adgang til svangerskapsbrudd.
nepotism,C,en,nepotisme,[nepoti´smə],Latin: nepos,"begunstigelse av slekt og venner ved besettelse av stillinger","Jeg har alltid vært motstander av kameraderi, nepotisme og alt som smaker av korrupsjon."
"hardly, unlikely",B2,adverb,neppe,,,"knapt, snaut; sannsynligvis ikke","Neppe hadde de satt seg, før konserten tok til. Det er neppe noen som tror det."
nerd,B1,en,nerd,,,"intelligent, men ensporet og usosial person",Han er en nerd som alltid sitter med nesa i en bok.
nerdy,B1,adjective,"nerdete, nerdet",,,"som er karakteristisk for en nerd",
nerve,B1,en,nerve,[næ`rvə],Latin,streng eller bunt av strenger som forbinder hjernen og ryggmargen med kroppen ellers og formidler sanseinntrykk og bevegelsesimpulser,Nerven i forslaget er kravet om likestilling.
nerve cell,B2,ei,nervecelle,,Latin,celle som overfører impulser,Forskere innen nevrologi har studert blekksprutens nerveceller for bedre å forstå menneskets eget nervesystem.
nerve gas,B2,en,nervegass,,Latin,stridsgass som virker forstyrrende eller lammende på nervesystemet,
nerve-wracking,B2,adjective,nervepirrende,,Latin,"meget spennende, dramatisk",Vi opplevde noen nervepirrende minutter.
nervous sytem,B2,et,nervesystem,,Latin,nett av nerver i en levende organisme,
nervous,A2,adjective,nervøs,,Latin,"som har med nervene å gjøre; som har dårlige nerver; urolig, overfølsom, skvetten; engstelig, rastløs; ustabil",Ventingen gjør meg nervøs. Studentene var nervøse før eksamen. Moren begynte å bli nervøs for gutten.
nervousness,B1,en,nervøsitet,,French,det å være nervøs; psykisk uro; engstelse,
nose,A1,ei,nese ,[ne:`sə],Old Norse: nǫs,"lukteorgan hos mennesker og dyr; luktesans; sans, teft",Hun har en fin nese for antikviteter.
nostril,B1,et,nesebor ,,Old Norse,åpning i nesen som en puster igjennom,Håndbaken hans er varm rett oppi neseborene hennes.
nasal spray,B1,en,nesespray ,,Old Norse,flytende legemiddel som sprayes inn i nesen,Ikke har vi sett at nesespray og nesedråper har gjort norsk novemberforkjølelse kortere.
cheeky,B2,adjective,nesevis,,German,"nebbete, frekk, uforskammet",Jeg svarte læreren nesevist.
"rhinoceros, rhino",B1,et,neshorn,[ne:`shorn],Greek via German,"stort hovdyr med hornformede utvekster av overhuden på nesen, av familien Rhinocerotidae",Et neshorn har et imponerende horn på nesen.
"next, second",A1,adjective,nest,,Old Norse,nærmest,Han er nest best i konkurransen.
next,A1,adjective,neste,,Old Norse: næstr,"nærmest følgende; nærmeste i rekken; ikke førstkommende, men den som følger deretter",Den neste personen i køen er din tur.
charitable,B2,adjective,nestekjærlig,,Old Norse,som elsker sine medmennesker; uselvisk,Hun er veldig nestekjærlig og bryr seg om alle.
charity,B2,ei,nestekjærlighet,,Old Norse,kjærlighet til sine medmennesker,De viste nestekjærlighet ved å ta seg av alle som trengte det.
the next person,A2,en,nestemann,,Old Norse,person som følger like etter en annen i en rekkefølge,Han ligger to poeng foran nestemann på lista.
almost,A2,adverb,nesten,,Old Norse,på det nærmeste; så godt som; omtrent; brukt for å gjøre et utsagn litt mindre bestemt eller bindende,Han er nesten like høy som du. Jeg hadde nesten glemt det.
deputy,B1,en,nestleder,,Old Norse,"person som kommer like etter lederen i funksjon og rang, og som i påkommende tilfelle kan ta lederens plass",Nestlederen tok over møtet da lederen måtte gå.
nice,B2,adjective,nett,,Latin via German,"pen, velpleid, ordentlig; tekkelig; ikke ubetydelig, temmelig stor",Dette er jammen en nett historie.
"net, internet, web",A2,et,nett,,Old Norse: net,"flettverk av snorer, tråder eller lignende",Han viklet seg inn i et nett av selvmotsigelser. Nettet snørte seg sammen om den mistenkte.
tablet computer,B1,et,nettbrett,,Old Norse,"lett håndholdt datamaskin med trykkskjerm, som kan koples til internett med særlig programvare",Jeg bruker nettbrettet mitt til å lese bøker.
mesh bottom,B2,en,nettbunn,,,nettlignende stoff til å filere på,Det var mye søppel på nettbunnen.
phishing,B2,ei,nettfisking,,,det å lure folk til å gi fra seg personlig informasjon på nettet; phishing,Nettsvindlere driver med nettfisking.
retina,B2,ei,netthinne ,,Old Norse,lysømfintlig hinne i det indre øyet som synsbildene dannes på,Netthinnen er en viktig del av øyet.
web browser,B1,en,nettleser,,Old Norse,dataprogram som gir tilgang til informasjon og tjenester på internett,Min favorittnettleser er Firefox.
internet service provider,B2,en,nettleverandør,,Old Norse,"firma, virksomhet som tilbyr tilgang til og står for driften av et nett, for eksempel datanettverk eller strømnett",Jeg byttet til en ny nettleverandør for raskere internett.
net domestic product,B2,et,nettonasjonalprodukt,,Latin,"bruttonasjonalproduktet minus verdien av slit og foreldelse av den samlede realkapitalen i landet",Nettonasjonalproduktet måler verdien av et lands økonomi.
"exactly, just",A2,adverb,nettopp,[ne´t:åp],Latin via German,"nøyaktig, akkurat; for et øyeblikk siden, i stad",Han er ikke nettopp den peneste i klassen. Det er nettopp det jeg mener.
webchat,B1,en,nettprat,,Old Norse,samtale som foregår med tastaturet på datamaskin via internett,Vi hadde en lang nettprat om prosjektet.
"website, webpage",A2,ei,nettside,,Old Norse,"elektronisk dokument i form av en hypertekst som er tilgjengelig på internett, og som kan inneholde tekst, bilder og annen informasjon",Nettsiden deres er enkel å navigere.
website,B1,et,nettsted,,,sted på internett; samling av nettsider som hører sammen,På nettstedet har de lagt ut mye nyttig informasjon.
network,B1,et,nettverk,[ne´tværk],Old Norse,"nett, flettverk",Det var et nettverk av årer i steinens overflate.
fist,B1,en,neve,,,hånd; håndfull,Han slo med neven på bordet.
fist fight,B2,en,nevekamp,,,"kamp med bare nevene",De to krigerne gikk i nevekamp.
"name, mention",B1,verb,nevne,,,"si (navnet på), uttale",Jeg må nevne at hun gjorde en utmerket jobb.
notable,B2,adjective,nevneverdig,,,"som det er verdt å nevne",Vi har ingen nevneverdig arbeidsledighet for tiden.
nephew,A2,en,nevø,[nevø:´],French: neveu,bror- eller søstersønn; mannlige avkom til ens bror eller søster,Nevøen arver sin barnløse onkel.
neurosurgeon,C,en,nevrokirurg,,Greek,lege som er spesialist i nevrokirurgi,Nevrokirurgen utførte en delikat operasjon på pasientens hjerne.
neurochemical,C,adjective,nevrokjemisk,,,"som gjelder nevrokjemi, hjernens og nervesystemets kjemi",
neuron,B2,et,nevron,[nevro:´n],Greek,nervecelle med utløpere,Et nevron er en nervecelle i kroppen.
neurosis,C,en,nevrose,[nevro:`sə],Greek,"nervøs lidelse som særlig utløses av miljøforhold, og som fører til sjelelige og legemlige plager uten å angripe selve personligheten",Freud heller til den oppfatning at de aller fleste nevroser skyldes en eller annen form for fortrengt seksualitet.
neurotic,B2,adjective,nevrotisk,[nevro:´tisk],Greek,som lider av nevrose,Voksne virker iblant nesten nevrotisk opptatt av å aktivisere barna.
New Zealand,B1,adjective,newzealandsk,,,som gjelder New Zealand og newzealendere,Den newzealandske filmen var fantastisk.
New Zealander,B1,en,newzealender,,,person fra New Zealand,Jeg møtte en hyggelig newzealender på reisen min.
nine,A1,numeral,ni,,,"grunntallet 9",Jeg har ni epler i kurven.
nice,B2,adjective,nice,[nais],English: nice,"pen, fin, deilig; hyggelig",Han var veldig nice og hjalp meg med flyttingen.
ninth,A1,adjective,niende,,Old Norse: niúndi,som er nummer ni i en rekkefølge; ordenstall til ni (9.),Det er den niende serierunden. De bor i niende etasje.
niece,A2,ei,niese,[nie:`sə],Latin via French,bror- eller søsterdatter,Niesen tar seg av sin gamle tante.
Nietzscheanism ,C,en,nietzscheanisme,[nitʃeani´smə],German,filosofi eller tankeretning skapt eller utgått fra Friedrich Nietzsche,Nietzscheanisme er en filosofisk retning.
Nietzschean,C,adjective,nietzscheansk,[nitʃea:´nsk],German,som gjelder den tyske filosofen Friedrich Nietzsche og hans filosofi,Hun har en nietzscheansk tankegang.
spooky,B2,adjective,nifs,[nifs],Old Norse: nefsa,"uhyggelig, skremmende",Det var nifst med den ulykken.
spam email,C,et,nigeriabrev,,Berber,"svindelbrev, især e-post med språk preget av maskinoversettelse, hvor mottager lokkes til å oppgi bankkontonummer",Jeg mottok et nigeriabrev i e-posten min.
